order_id,customer_id,restaurant_id,order_date,delivery_time,status,total_amount,payment_mode,discount_applied,feedback_rating
52731a20-a880-4d4d-82c8-993e55080ef9,68acfd1e-5618-4b98-a829-355e637762e6,acae7721-3d8a-443a-9432-a3ea67043594,2024-10-03 01:51:28,2024-10-03 02:37:28,Delivered,192.15,Cash,15.33,4.11
ab5ec016-5c56-4726-acc5-ce3b8b36bb27,501f5402-f699-4c7a-8b92-4e2ecf3280bc,dfec44d0-1e3c-48d1-8c77-b1d49f331df7,2024-09-01 17:36:51,,Cancelled,121.49,UPI,14.17,4.65
d9418e57-5384-4687-92dc-522ec22ea2f5,80fbe5a8-993a-4534-8d15-d451eb35547d,d1f1baa5-10b6-432c-a32f-41130f005a6c,2024-04-28 23:10:44,2024-04-29 00:31:44,Delivered,103.6,Cash,16.21,1.84
bbfe5906-a4af-4c3e-9236-904b597b0579,cc5aadbf-5f80-43a3-9867-fd712c21e7aa,844f0488-8b27-4f18-9754-e20d2016bcd6,2024-05-16 13:04:28,,Cancelled,40.19,UPI,18.84,4.45
0f45cfcd-5799-45b5-94a4-9b8cda6fbc79,3160c53e-2f7b-4a80-bd4b-7e18777d6837,d31561f4-5fea-4c14-b5ee-be65e133f76e,2024-02-03 00:55:51,2024-02-03 02:31:51,Delivered,123.9,UPI,16.8,2.77
58a28095-fdb7-427c-8270-2a8c6d70a6d6,41fa8487-c71b-499f-8ce5-97bc828a8ac9,b417e1b5-f190-4d08-be09-ce3b2d8d2d8f,2023-12-22 04:45:32,2023-12-22 05:49:32,Delivered,57.32,Cash,7.55,1.29
1dcee528-9e4c-47c4-b183-195a93a56bc8,64ec2402-9e1c-44c8-8889-edd9498c578d,acae7721-3d8a-443a-9432-a3ea67043594,2023-12-29 11:53:57,,Pending,41.6,Cash,9.47,4.21
f3a429b7-665c-4410-be17-595761fc1388,1e23b3bf-9b80-4031-9af8-f2a1a0a782bb,acae7721-3d8a-443a-9432-a3ea67043594,2024-11-16 16:09:13,,Cancelled,13.17,Cash,1.43,1.44
d49e5e97-477a-480d-9c5a-eabdca7ee5cd,cb8048a0-0e62-4f72-9e7b-076a25b003ce,a2efc75f-fe0d-4e95-9b57-30ffaa6fee03,2024-09-25 12:25:27,,Cancelled,134.69,UPI,19.07,2.13
dd6d843a-373d-4688-9f34-d770c32fc566,f82e345f-40dc-4ac5-a8ac-7855b6c54cbf,ea7f323f-5e72-4079-ac03-00ba921e6b3a,2024-04-06 00:13:54,,Cancelled,74.9,UPI,9.89,1.68
d33ab539-c4c3-4867-9966-c4a1de4ddc18,7e1711e1-885b-4bc4-b465-fcdb902dbf33,d1f1baa5-10b6-432c-a32f-41130f005a6c,2024-07-18 10:06:45,,Pending,35.27,Cash,7.4,3.16
442fe26b-f6fc-42af-ae83-bdec51d2a2b8,21a04a39-f319-48f3-b559-bf6079540c0b,05803d68-0fbb-470b-ba25-fbb04cd65686,2024-01-28 15:17:53,2024-01-28 17:03:53,Delivered,135.47,UPI,13.52,3.24
cfd6945d-8b1b-45ab-a402-6d716047fa74,df5338f3-a92d-4e04-a0ba-75e9bf80e9d7,c74bb9a7-006c-462f-bc6f-290f3862dc3c,2024-09-28 06:03:09,2024-09-28 07:45:09,Delivered,92.97,UPI,5.63,1.31
e3b3033d-e307-456a-b272-a68ad62ab668,f4225bca-651f-482e-967f-a2608b80ed3f,c9a32ac9-3528-4425-8a4c-dd8a0e3e55f2,2024-11-24 07:19:19,,Cancelled,98.5,UPI,8.03,4.6
2628f49b-0d09-47d7-9907-159bbf41753c,7323deff-bf93-4ec8-99e5-16e922878d69,949e15ec-6c39-44f1-9435-599f8696979a,2024-03-24 23:58:42,,Pending,143.9,UPI,1.51,3.76
3689b6e1-8fb9-4e50-b68b-51e603bf8d12,d1d93c56-4aaf-4ce4-be44-68e95bdc42b4,949e15ec-6c39-44f1-9435-599f8696979a,2024-11-28 02:57:53,,Cancelled,14.0,UPI,6.81,3.51
8c0c3dca-f2c7-4f39-bb96-f2040da272a9,61ada594-b9f1-42ea-923a-93bfc25199cf,c9888536-ed95-456e-8974-afd6ec677089,2024-06-01 09:29:20,,Pending,101.59,Cash,7.86,2.07
d601d6cb-3017-47ad-a4df-7f7bc6f1921e,eb4882b8-0b52-43a4-b345-083022687625,647b56ce-abec-4ac9-8f26-5c31656b7999,2024-10-08 17:50:49,2024-10-08 19:27:49,Delivered,119.1,Cash,4.9,2.75
fe261d34-c1ca-44af-b7f9-bef226f9b88e,3c8adc3a-b16d-4f5c-a966-72988911ff70,d215c5fd-d0fa-4fc6-97b0-a3b7b0ab5a6f,2023-12-13 05:02:30,2023-12-13 05:55:30,Delivered,104.96,UPI,9.22,1.81
1ea7fa01-b4b0-4ccc-a654-b8f3931a542a,cb8048a0-0e62-4f72-9e7b-076a25b003ce,e4eb2ef6-fa7c-441c-af34-450f233d4cfe,2023-12-27 23:19:42,,Cancelled,156.32,Credit Card,0.53,4.09
8fb36ee9-bd6f-40fd-8feb-17ff642e8b0d,949a4d96-90d9-4fa3-8593-8f553095c1b3,b417e1b5-f190-4d08-be09-ce3b2d8d2d8f,2024-09-05 03:25:17,,Cancelled,23.16,Credit Card,15.91,4.74
4c6dc8cc-0cc3-48b0-b293-48d0dd02716b,61dddc6a-90ee-44e2-a9d2-b9c46bb2de63,ce7dfb42-e3d1-48a1-b705-41da6143c620,2024-08-19 21:45:46,,Pending,65.63,Credit Card,10.66,2.96
fba856f9-2ab5-427d-b9d7-cc5f07cce27e,a58e1bee-2cfd-4af6-b269-9ca32efbb01a,dfec44d0-1e3c-48d1-8c77-b1d49f331df7,2024-05-21 09:20:47,,Cancelled,30.21,Credit Card,1.09,4.7
c142b0e5-2878-4afc-9fbe-c1680767e591,49e5aaee-c4f5-4190-a454-1593e6f46b75,c9a32ac9-3528-4425-8a4c-dd8a0e3e55f2,2024-08-08 16:06:51,,Cancelled,64.4,UPI,13.9,4.99
f3b27d3f-bf5f-4385-b369-9ba36b7d2ff8,cfd6ce76-1b39-4488-b645-22f13e0f102d,3a5198e0-3a34-42f6-94f8-76d06f4936dd,2024-07-21 14:38:51,,Cancelled,198.16,Credit Card,0.6,2.08
0e214bd9-dfd9-44fc-9705-857f0536fb67,3e2be0d1-3abe-4ab2-bbd0-c8119e30a948,1bf58b57-b13b-4318-8eb8-a8ef42ba9202,2024-01-23 21:41:04,,Cancelled,141.1,UPI,14.49,1.81
e4995c3e-07a4-4279-945b-49cd1d36845e,d27084c2-8537-44a8-8c1e-78b610a3002e,e030ed39-e81e-4ca1-919b-25f8a0e7c2de,2024-03-07 22:49:07,,Pending,120.21,UPI,0.56,4.77
c937adb9-ddc9-4db8-a9af-a75869e08454,cfd6ce76-1b39-4488-b645-22f13e0f102d,db6f9bc8-cd81-4fe0-ad29-2bea27ae7b47,2024-11-17 21:14:50,,Pending,138.43,UPI,8.11,4.18
17a3f0ef-f5e6-4041-9bf4-a1925132b9bb,db2fdc04-c361-4cfe-8255-3a4f46915068,137b31ec-95f3-4661-b8a0-587691ac3b0f,2024-06-18 01:56:18,,Cancelled,120.68,UPI,2.38,2.53
bb87bf41-7211-45e8-b798-8521c4b854ab,c90c32e3-20e2-4d76-abb7-cadda33f4f5f,1bf58b57-b13b-4318-8eb8-a8ef42ba9202,2023-12-11 15:23:20,,Pending,80.04,UPI,12.49,4.42
1f5a4dcb-0b82-4821-95b8-2be9bf2ceb87,e3ec0aaa-c860-40f9-9528-9d4c8f1e780b,90df8470-e1e0-4147-8d71-bee65b09b632,2024-06-03 02:55:23,,Pending,167.21,UPI,13.96,4.94
6661716c-c775-401a-bada-943b6ee80c21,c1b250f6-3606-4c43-a04b-17decf705e44,844f0488-8b27-4f18-9754-e20d2016bcd6,2024-05-14 02:20:41,,Cancelled,120.31,Credit Card,1.83,1.95
53ce8987-42de-46e1-a4ab-d31b81e76ec8,fe110556-d07a-4b2f-8917-b611818c07fc,f338b9b5-1065-46f2-8d89-0d5c8f2f6766,2024-08-30 16:29:17,,Pending,154.39,Credit Card,0.35,4.2
7ff3f5cf-706d-4102-83d0-d63bcedfa64b,009d7765-f3f9-4591-b91d-9b80148da569,359d3037-2413-4278-bb2c-cb9f8ffc3102,2024-04-05 16:12:38,,Cancelled,25.42,Cash,3.5,3.91
1a531ec5-a7eb-4483-b28e-cce29c332ec7,df5338f3-a92d-4e04-a0ba-75e9bf80e9d7,24d739f7-460e-4ce2-90f8-d83ad9b89b60,2024-06-21 22:07:12,,Pending,192.33,Credit Card,11.53,4.21
a8313b18-26dd-4c0e-979e-6cbd899bef32,df5338f3-a92d-4e04-a0ba-75e9bf80e9d7,24d739f7-460e-4ce2-90f8-d83ad9b89b60,2024-08-23 09:19:12,,Cancelled,81.31,Credit Card,0.7,4.98
d5ba7c1a-c5f7-4f08-95e7-cace6f7b50f5,7baec65c-19ff-4d68-96b0-c7071e07d317,137b31ec-95f3-4661-b8a0-587691ac3b0f,2024-01-31 05:23:46,,Cancelled,15.14,Credit Card,5.4,3.13
b41e5597-ee04-44af-b1bb-9bf77b91811d,501f5402-f699-4c7a-8b92-4e2ecf3280bc,d1f1baa5-10b6-432c-a32f-41130f005a6c,2024-10-05 12:01:06,,Cancelled,137.58,Credit Card,3.54,2.43
db97f871-9308-43d3-a5e2-fdaaa7a11e9c,f02c4f90-ba55-451a-9a04-301bf29e0d9d,acae7721-3d8a-443a-9432-a3ea67043594,2024-01-07 04:32:45,,Cancelled,43.79,UPI,13.06,4.01
ad448a16-2ac0-4f5b-9c8a-c2a844da1e2d,0042c802-4ee1-4d21-89f6-2ce4310bd92c,c9888536-ed95-456e-8974-afd6ec677089,2024-09-14 14:20:18,,Cancelled,56.58,UPI,1.01,3.01
2b4ee019-4859-4dfe-b587-f4c9bc88870e,97ff1520-b1b1-4658-b559-0bdadd597143,f654c38e-30c0-427d-bfca-d77356df6ae4,2024-05-31 16:15:09,,Pending,189.85,UPI,16.98,3.05
64a062c5-d396-4897-aeff-d9d61a6eda17,eb4882b8-0b52-43a4-b345-083022687625,f654c38e-30c0-427d-bfca-d77356df6ae4,2024-04-07 13:39:37,,Cancelled,146.84,UPI,8.23,1.87
69be0c6c-ad61-4581-b1ce-0f8b1699bf00,d1d93c56-4aaf-4ce4-be44-68e95bdc42b4,1bf58b57-b13b-4318-8eb8-a8ef42ba9202,2024-05-14 14:34:29,,Pending,79.08,Credit Card,11.81,1.64
d22a4e8c-78f0-4acd-9bac-64fbdffdb1fe,8bb1c791-8d7f-40d3-be72-422f7fafa8b4,24d739f7-460e-4ce2-90f8-d83ad9b89b60,2024-09-21 15:48:15,,Pending,173.8,Cash,13.84,2.84
93f05bc9-7c19-403f-9e84-75fad6d4df7b,80fbe5a8-993a-4534-8d15-d451eb35547d,949e15ec-6c39-44f1-9435-599f8696979a,2024-09-04 02:21:51,2024-09-04 03:13:51,Delivered,154.76,Cash,0.15,4.81
88f74196-ab88-4709-a88b-b3fee40c2419,61dddc6a-90ee-44e2-a9d2-b9c46bb2de63,64c20721-9688-4d06-8c92-58685f145274,2024-08-06 08:22:08,2024-08-06 10:13:08,Delivered,26.34,Cash,8.02,2.35
0de5d79d-9f65-42d3-9365-e1cecb413d7f,f4225bca-651f-482e-967f-a2608b80ed3f,dfec44d0-1e3c-48d1-8c77-b1d49f331df7,2024-01-23 13:24:57,,Pending,191.46,UPI,11.21,2.29
cc796075-41dd-4c64-9b79-de7c608fb846,4d647e22-3724-46a2-8bde-9ce277295d59,36d29c41-adf3-4fb7-9820-b5926d2efd55,2024-08-14 07:13:17,,Cancelled,50.83,UPI,4.07,2.74
90a17133-4166-4f20-bac9-6c62feedc971,d27084c2-8537-44a8-8c1e-78b610a3002e,e026cee6-dcd1-4076-a353-7f41b9c0be43,2024-09-10 18:30:33,,Cancelled,173.22,UPI,12.19,4.94
b0c67d42-22a9-49e4-bace-b220f671a7a0,6273846c-7e67-4d7b-8a45-a20a48e4ab33,dfec44d0-1e3c-48d1-8c77-b1d49f331df7,2024-07-23 02:30:18,2024-07-23 02:52:18,Delivered,36.08,UPI,10.7,4.93
70082c19-d152-4052-9832-99a9608aed53,0859cbec-a92f-4f58-b84d-1246d63f2e45,9ea1b32a-6670-4e58-822b-2c5eeb05031a,2024-10-28 08:56:09,,Cancelled,184.9,UPI,10.34,2.11
6dc5c8b6-7877-4e09-a088-f66feabaec23,9ecc5ce8-c80f-4aee-9ce8-0a8f6c33440f,e026cee6-dcd1-4076-a353-7f41b9c0be43,2024-05-24 19:45:18,,Pending,184.88,Credit Card,3.34,1.08
c92033da-2a3e-4e86-b4b7-84cae891850f,7e1711e1-885b-4bc4-b465-fcdb902dbf33,c74bb9a7-006c-462f-bc6f-290f3862dc3c,2024-04-04 20:51:46,,Pending,73.61,Credit Card,1.39,3.61
681f520e-86e8-43ad-9d15-99c5a19f20a6,97ff1520-b1b1-4658-b559-0bdadd597143,1837f734-540a-4e5f-a579-e9487799f444,2023-12-20 14:48:37,,Pending,124.73,UPI,7.03,4.81
70c982c8-714e-4219-9bda-b3f40679274a,0859cbec-a92f-4f58-b84d-1246d63f2e45,ce7dfb42-e3d1-48a1-b705-41da6143c620,2024-03-15 13:08:54,2024-03-15 14:33:54,Delivered,88.08,UPI,13.12,2.31
be6d661b-6d62-40f9-acf4-cb335d7411bc,c90c32e3-20e2-4d76-abb7-cadda33f4f5f,c74bb9a7-006c-462f-bc6f-290f3862dc3c,2024-08-02 01:36:43,,Pending,60.31,UPI,7.25,3.15
1ed400af-da24-44c5-8ca4-7dd7b1bd012c,07507c8e-6c7b-4bdf-8ab9-f144efa60d8c,1bf58b57-b13b-4318-8eb8-a8ef42ba9202,2024-02-11 17:03:51,,Cancelled,124.95,Cash,8.62,1.77
2189be1a-a1a5-43be-90b4-815547929a76,fda1a421-3e3f-443e-b94e-b0c0026703fc,d31561f4-5fea-4c14-b5ee-be65e133f76e,2024-03-20 09:23:52,,Cancelled,165.51,Credit Card,11.18,2.39
a5e17130-2d8c-479a-9d97-5ed666a7ab58,f885ccc4-b28b-46b8-8ac3-3daa8f1e5f23,36d29c41-adf3-4fb7-9820-b5926d2efd55,2024-11-29 04:55:09,2024-11-29 06:23:09,Delivered,178.54,UPI,18.32,1.93
a21f6abf-423f-4d87-9822-ff989ae0ddb9,8c2e6546-4360-42c8-a0c9-0c14a5f5b104,db6f9bc8-cd81-4fe0-ad29-2bea27ae7b47,2024-11-27 07:01:06,2024-11-27 08:42:06,Delivered,127.48,UPI,3.53,2.46
a917842d-d62e-4a85-b1a8-27b02a293a6c,820c26db-7d05-4975-a053-3ae6ec0f8ee8,1e00fc3c-c1d7-4047-ad66-07869c92a42f,2024-05-24 22:15:07,,Cancelled,175.07,UPI,1.08,3.6
a641d086-82d0-4fb8-b792-e2537542b858,1df14ce5-b594-46e7-8911-927e6d406b93,e4eb2ef6-fa7c-441c-af34-450f233d4cfe,2024-04-11 13:43:51,2024-04-11 14:25:51,Delivered,89.17,UPI,2.26,4.51
7924a4b3-8141-4d8e-8019-18fa6e4f0ae8,41fa8487-c71b-499f-8ce5-97bc828a8ac9,844f0488-8b27-4f18-9754-e20d2016bcd6,2024-05-25 08:56:11,,Cancelled,159.46,Credit Card,6.34,4.43
ede75eda-0b0c-4d61-b3c4-0ac0944b6a54,97ff1520-b1b1-4658-b559-0bdadd597143,2380df72-5236-42a0-90fa-7cd8d83b18f3,2024-02-12 10:03:42,2024-02-12 10:28:42,Delivered,130.88,Cash,12.34,1.82
f2c040e9-6c36-4eed-a013-762003afff14,89d15533-c9a0-4429-a048-e1f9c116952c,1e00fc3c-c1d7-4047-ad66-07869c92a42f,2024-05-26 16:42:29,,Pending,166.96,UPI,2.14,2.02
133fe951-1a1d-452d-85e4-2b5027324fd5,5b1bee59-6713-41d1-85c4-de7a937b7a47,1837f734-540a-4e5f-a579-e9487799f444,2024-04-06 15:46:04,,Cancelled,154.52,UPI,5.29,2.26
4b8b14c5-075c-4c07-ac77-7a2b1bc7118f,d27084c2-8537-44a8-8c1e-78b610a3002e,3a5198e0-3a34-42f6-94f8-76d06f4936dd,2024-09-22 12:50:23,,Pending,55.7,UPI,14.94,3.03
3decaf3a-14e6-4a12-8941-f4de5d582272,009d7765-f3f9-4591-b91d-9b80148da569,647b56ce-abec-4ac9-8f26-5c31656b7999,2023-12-28 14:14:06,,Pending,78.69,UPI,1.38,4.81
9ee831f7-bf84-4c31-b85f-d24ef4edd895,4b704624-5577-47eb-8821-c8d8f667d8b2,90df8470-e1e0-4147-8d71-bee65b09b632,2024-01-07 12:39:14,,Pending,14.7,Cash,11.26,2.64
2178535a-ddc7-4a05-8ea8-a9b5fbabf65d,7ca9a85b-1be5-4395-8033-54c2f8e508b2,f654c38e-30c0-427d-bfca-d77356df6ae4,2024-09-15 10:38:02,,Cancelled,87.31,Credit Card,2.6,4.53
7f80896e-cf3c-4b2d-815b-29837ee7e5f4,009d7765-f3f9-4591-b91d-9b80148da569,db6f9bc8-cd81-4fe0-ad29-2bea27ae7b47,2024-01-04 19:37:01,2024-01-04 21:08:01,Delivered,86.64,Cash,15.07,2.24
